code commune INSEE;nom de la commune;code postal;libellé d'acheminement
03059;CHAREIL CINTRAT                       ;03140;CHAREIL CINTRAT                       
03060;CHARMEIL                              ;03110;CHARMEIL                              
03061;CHARMES                               ;03800;CHARMES                               
03062;CHARROUX                              ;03140;CHARROUX                              
03063;CHASSENARD                            ;03510;CHASSENARD                            
03064;CHATEAU SUR ALLIER                    ;03320;CHATEAU SUR ALLIER                    
03065;CHATEL DE NEUVRE                      ;03500;CHATEL DE NEUVRE                      
03066;CHATEL MONTAGNE                       ;03250;CHATEL MONTAGNE                       
03067;CHATELPERRON                          ;03220;CHATELPERRON                          
03068;CHATELUS                              ;03120;CHATELUS                              
03069;CHATILLON                             ;03210;CHATILLON                             
03070;CHAVENON                              ;03440;CHAVENON                              
03071;CHAVROCHES                            ;03220;CHAVROCHES                            
03072;CHAZEMAIS                             ;03370;CHAZEMAIS                             
03073;CHEMILLY                              ;03210;CHEMILLY                              
03074;CHEVAGNES                             ;03230;CHEVAGNES                             
03075;CHEZELLE                              ;03140;CHEZELLE                              
03076;CHEZY                                 ;03230;CHEZY                                 
03077;CHIRAT L EGLISE                       ;03330;CHIRAT L EGLISE                       
03078;CHOUVIGNY                             ;03450;CHOUVIGNY                             
03079;CINDRE                                ;03220;CINDRE                                
03080;COGNAT LYONNE                         ;03110;COGNAT LYONNE                         
03081;COLOMBIER                             ;03600;COLOMBIER                             
03082;COMMENTRY                             ;03600;COMMENTRY                             
03083;CONTIGNY                              ;03500;CONTIGNY                              
03084;COSNE D ALLIER                        ;03430;COSNE D ALLIER                        
03085;COULANDON                             ;03000;COULANDON                             
03086;COULANGES                             ;03470;COULANGES                             
03087;COULEUVRE                             ;03320;COULEUVRE                             
03088;COURCAIS                              ;03370;COURCAIS                              
03089;COUTANSOUZE                           ;03330;COUTANSOUZE                           
03090;COUZON                                ;03160;COUZON                                
03091;CRECHY                                ;03150;CRECHY                                
03092;CRESSANGES                            ;03240;CRESSANGES                            
03093;CREUZIER LE NEUF                      ;03300;CREUZIER LE NEUF                      
03094;CREUZIER LE VIEUX                     ;03300;CREUZIER LE VIEUX                     
03095;CUSSET                                ;03300;CUSSET                                
03096;DENEUILLE LES CHANTELLE               ;03140;DENEUILLE LES CHANTELLE               
03097;DENEUILLE LES MINES                   ;03170;DENEUILLE LES MINES                   
03098;DESERTINES                            ;03630;DESERTINES                            
03099;DEUX CHAISES                          ;03240;DEUX CHAISES                          
03100;DIOU                                  ;03290;DIOU                                  
03101;DOMERAT                               ;03410;DOMERAT                               
03102;DOMPIERRE SUR BESBRE                  ;03290;DOMPIERRE SUR BESBRE                  
03103;LE DONJON                             ;03130;LE DONJON                             
03104;DOYET                                 ;03170;DOYET                                 
03105;DROITURIER                            ;03120;DROITURIER                            
03106;DURDAT LAREQUILLE                     ;03310;DURDAT LAREQUILLE                     
03107;EBREUIL                               ;03450;EBREUIL                               
03108;ECHASSIERES                           ;03330;ECHASSIERES                           
03109;ESCUROLLES                            ;03110;ESCUROLLES                            
03110;ESPINASSE VOZELLE                     ;03110;ESPINASSE VOZELLE                     
03111;ESTIVAREILLES                         ;03190;ESTIVAREILLES                         
03112;ETROUSSAT                             ;03140;ETROUSSAT                             
03113;FERRIERES SUR SICHON                  ;03250;FERRIERES SUR SICHON                  
03114;LA FERTE HAUTERIVE                    ;03340;LA FERTE HAUTERIVE                    
03115;FLEURIEL                              ;03140;FLEURIEL                              
03116;FOURILLES                             ;03140;FOURILLES                             
03117;FRANCHESSE                            ;03160;FRANCHESSE                            
03118;GANNAT                                ;03800;GANNAT                                
03119;GANNAY SUR LOIRE                      ;03230;GANNAY SUR LOIRE                      
03120;GARNAT SUR ENGIEVRE                   ;03230;GARNAT SUR ENGIEVRE                   
03121;GENNETINES                            ;03400;GENNETINES                            
03122;GIPCY                                 ;03210;GIPCY                                 
03123;GIVARLAIS                             ;03190;GIVARLAIS                             
03124;GOUISE                                ;03340;GOUISE                                
03125;LA GUILLERMIE                         ;03250;LA GUILLERMIE                         
03126;HAUTERIVE                             ;03270;HAUTERIVE                             
03127;HERISSON                              ;03190;HERISSON                              
03128;HURIEL                                ;03380;HURIEL                                
03129;HYDS                                  ;03600;HYDS                                  
03130;ISLE ET BARDAIS                       ;03360;ISLE ET BARDAIS                       
03131;ISSERPENT                             ;03120;ISSERPENT                             
03132;JALIGNY SUR BESBRE                    ;03220;JALIGNY SUR BESBRE                    
03133;JENZAT                                ;03800;JENZAT                                
03134;LAFELINE                              ;03500;LAFELINE                              
03135;LALIZOLLE                             ;03450;LALIZOLLE                             
03136;LAMAIDS                               ;03380;LAMAIDS                               
03137;LANGY                                 ;03150;LANGY                                 
03138;LAPALISSE                             ;03120;LAPALISSE                             
03139;LAPRUGNE                              ;03250;LAPRUGNE                              
03140;LAVAULT STE ANNE                      ;03100;LAVAULT STE ANNE                      
03141;LAVOINE                               ;03250;LAVOINE                               
03142;LENAX                                 ;03130;LENAX                                 
03143;LETELON                               ;03360;LETELON                               
03144;LIERNOLLES                            ;03130;LIERNOLLES                            
03145;LIGNEROLLES                           ;03410;LIGNEROLLES                           
03146;LIMOISE                               ;03320;LIMOISE                               
03147;LODDES                                ;03130;LODDES                                
03148;LORIGES                               ;03500;LORIGES                               
03149;LOUCHY MONTFAND                       ;03500;LOUCHY MONTFAND                       
03150;LOUROUX BOURBONNAIS                   ;03350;LOUROUX BOURBONNAIS                   
03151;LOUROUX DE BEAUNE                     ;03600;LOUROUX DE BEAUNE                     
03152;LOUROUX DE BOUBLE                     ;03330;LOUROUX DE BOUBLE                     
03153;LOUROUX HODEMENT                      ;03190;LOUROUX HODEMENT                      
03154;LUNEAU                                ;03130;LUNEAU                                
03155;LURCY LEVIS                           ;03320;LURCY LEVIS                           
03156;LUSIGNY                               ;03230;LUSIGNY                               
03157;MAGNET                                ;03260;MAGNET                                
03158;MAILLET                               ;03190;MAILLET                               
03159;MALICORNE                             ;03600;MALICORNE                             
03160;MARCENAT                              ;03260;MARCENAT                              
03161;MARCILLAT EN COMBRAILLE               ;03420;MARCILLAT EN COMBRAILLE               
03162;MARIGNY                               ;03210;MARIGNY                               
03163;MARIOL                                ;03270;MARIOL                                
03164;LE MAYET D ECOLE                      ;03800;LE MAYET D ECOLE                      
03165;LE MAYET DE MONTAGNE                  ;03250;LE MAYET DE MONTAGNE                  
03166;MAZERIER                              ;03800;MAZERIER                              
03167;MAZIRAT                               ;03420;MAZIRAT                               
03168;MEAULNE                               ;03360;MEAULNE                               
03169;MEILLARD                              ;03500;MEILLARD                              
03170;MEILLERS                              ;03210;MEILLERS                              
03171;MERCY                                 ;03340;MERCY                                 
03172;MESPLES                               ;03370;MESPLES                               
03173;MOLINET                               ;03510;MOLINET                               
03174;MOLLES                                ;03300;MOLLES                                
03175;MONESTIER                             ;03140;MONESTIER                             
03176;MONETAY SUR ALLIER                    ;03500;MONETAY SUR ALLIER                    
03177;MONETAY SUR LOIRE                     ;03470;MONETAY SUR LOIRE                     
03178;MONTAIGUET EN FOREZ                   ;03130;MONTAIGUET EN FOREZ                   
03179;MONTAIGU LE BLIN                      ;03150;MONTAIGU LE BLIN                      
03180;MONTBEUGNY                            ;03340;MONTBEUGNY                            
03181;MONTCOMBROUX LES MINES                ;03130;MONTCOMBROUX LES MINES                
03182;MONTEIGNET SUR L ANDELOT              ;03800;MONTEIGNET SUR L ANDELOT              
03183;LE MONTET                             ;03240;LE MONTET                             
03184;MONTILLY                              ;03000;MONTILLY                              
03185;MONTLUCON                             ;03100;MONTLUCON                             
03186;MONTMARAULT                           ;03390;MONTMARAULT                           
03187;MONTOLDRE                             ;03150;MONTOLDRE                             
03188;MONTORD                               ;03500;MONTORD                               
03189;MONTVICQ                              ;03170;MONTVICQ                              
03190;MOULINS                               ;03000;MOULINS                               
03191;MURAT                                 ;03390;MURAT                                 
03192;NADES                                 ;03450;NADES                                 
03193;NASSIGNY                              ;03190;NASSIGNY                              
03194;NAVES                                 ;03330;NAVES                                 
03195;NERIS LES BAINS                       ;03310;NERIS LES BAINS                       
03196;NEUILLY EN DONJON                     ;03130;NEUILLY EN DONJON                     
03197;NEUILLY LE REAL                       ;03340;NEUILLY LE REAL                       
03198;NEURE                                 ;03320;NEURE                                 
03200;NEUVY                                 ;03000;NEUVY                                 
03201;NIZEROLLES                            ;03250;NIZEROLLES                            
03202;NOYANT D ALLIER                       ;03210;NOYANT D ALLIER                       
03203;PARAY LE FRESIL                       ;03230;PARAY LE FRESIL                       
03204;PARAY SOUS BRIAILLES                  ;03500;PARAY SOUS BRIAILLES                  
03205;PERIGNY                               ;03120;PERIGNY                               
03206;LA PETITE MARCHE                      ;03420;LA PETITE MARCHE                      
03207;PIERREFITTE SUR LOIRE                 ;03470;PIERREFITTE SUR LOIRE                 
03208;LE PIN                                ;03130;LE PIN                                
03209;POEZAT                                ;03800;POEZAT                                
03210;POUZY MESANGY                         ;03320;POUZY MESANGY                         
03211;PREMILHAT                             ;03410;PREMILHAT                             
03212;QUINSSAINES                           ;03380;QUINSSAINES                           
03213;REUGNY                                ;03190;REUGNY                                
03214;ROCLES                                ;03240;ROCLES                                
03215;RONGERES                              ;03150;RONGERES                              
03216;RONNET                                ;03420;RONNET                                
03217;ST ANGEL                              ;03170;ST ANGEL                              
03218;ST AUBIN LE MONIAL                    ;03160;ST AUBIN LE MONIAL                    
03219;ST BONNET DE FOUR                     ;03390;ST BONNET DE FOUR                     
03220;ST BONNET DE ROCHEFORT                ;03800;ST BONNET DE ROCHEFORT                
03221;ST BONNET TRONCAIS                    ;03360;ST BONNET TRONCAIS                    
03222;ST CAPRAIS                            ;03190;ST CAPRAIS                            
03223;ST CHRISTOPHE                         ;03120;ST CHRISTOPHE                         
03224;ST CLEMENT                            ;03250;ST CLEMENT                            
03225;ST DESIRE                             ;03370;ST DESIRE                             
03226;ST DIDIER EN DONJON                   ;03130;ST DIDIER EN DONJON                   
03227;ST DIDIER LA FORET                    ;03110;ST DIDIER LA FORET                    
03228;ST ELOY D ALLIER                      ;03370;ST ELOY D ALLIER                      
03229;ST ENNEMOND                           ;03400;ST ENNEMOND                           
03230;ST ETIENNE DE VICQ                    ;03300;ST ETIENNE DE VICQ                    
03231;ST FARGEOL                            ;03420;ST FARGEOL                            
03232;ST FELIX                              ;03260;ST FELIX                              
03233;ST GENEST                             ;03310;ST GENEST                             
03234;ST GERAND DE VAUX                     ;03340;ST GERAND DE VAUX                     
03235;ST GERAND LE PUY                      ;03150;ST GERAND LE PUY                      
03236;ST GERMAIN DES FOSSES                 ;03260;ST GERMAIN DES FOSSES                 
03237;ST GERMAIN DE SALLES                  ;03140;ST GERMAIN DE SALLES                  
03238;ST HILAIRE                            ;03440;ST HILAIRE                            
03239;ST LEGER SUR VOUZANCE                 ;03130;ST LEGER SUR VOUZANCE                 
03240;ST LEON                               ;03220;ST LEON                               
03241;ST LEOPARDIN D AUGY                   ;03160;ST LEOPARDIN D AUGY                   
03242;ST LOUP                               ;03150;ST LOUP                               
03243;ST MARCEL EN MURAT                    ;03390;ST MARCEL EN MURAT                    
03244;ST MARCEL EN MARCILLAT                ;03420;ST MARCEL EN MARCILLAT                
03245;ST MARTIN DES LAIS                    ;03230;ST MARTIN DES LAIS                    
03246;ST MARTINIEN                          ;03380;ST MARTINIEN                          
03247;ST MENOUX                             ;03210;ST MENOUX                             
03248;ST NICOLAS DES BIEFS                  ;03250;ST NICOLAS DES BIEFS                  
03249;ST PALAIS                             ;03370;ST PALAIS                             
03250;ST PIERRE LAVAL                       ;042620;ST PIERRE LAVAL                       
03251;ST PLAISIR                            ;03160;ST PLAISIR                            
03252;ST PONT                               ;03110;ST PONT                               
03253;ST POURCAIN SUR BESBRE                ;03290;ST POURCAIN SUR BESBRE                
03254;ST POURCAIN SUR SIOULE                ;03500;ST POURCAIN SUR SIOULE                
03255;ST PRIEST D ANDELOT                   ;03800;ST PRIEST D ANDELOT                   
03256;ST PRIEST EN MURAT                    ;03390;ST PRIEST EN MURAT                    
03257;ST PRIX                               ;03120;ST PRIX                               
03258;ST REMY EN ROLLAT                     ;03110;ST REMY EN ROLLAT                     
03259;ST SAUVIER                            ;03370;ST SAUVIER                            
03260;ST SORNIN                             ;03240;ST SORNIN                             
03261;STE THERENCE                          ;03420;STE THERENCE                          
03262;ST VICTOR                             ;03410;ST VICTOR                             
03263;ST VOIR                               ;03220;ST VOIR                               
03264;ST YORRE                              ;03270;ST YORRE                              
03265;SALIGNY SUR ROUDON                    ;03470;SALIGNY SUR ROUDON                    
03266;SANSSAT                               ;03150;SANSSAT                               
03267;SAULCET                               ;03500;SAULCET                               
03268;SAULZET                               ;03800;SAULZET                               
03269;SAUVAGNY                              ;03430;SAUVAGNY                              
03270;SAZERET                               ;03390;SAZERET                               
03271;SERBANNES                             ;03700;SERBANNES                             
03272;SERVILLY                              ;03120;SERVILLY                              
03273;SEUILLET                              ;03260;SEUILLET                              
03274;SORBIER                               ;03220;SORBIER                               
03275;SOUVIGNY                              ;03210;SOUVIGNY                              
03276;SUSSAT                                ;03450;SUSSAT                                
03277;TARGET                                ;03140;TARGET                                
03278;TAXAT SENAT                           ;03140;TAXAT SENAT                           
03279;TEILLET ARGENTY                       ;03410;TEILLET ARGENTY                       
03280;TERJAT                                ;03420;TERJAT                                
03281;LE THEIL                              ;03240;LE THEIL                              
03282;THENEUILLE                            ;03350;THENEUILLE                            
03283;THIEL SUR ACOLIN                      ;03230;THIEL SUR ACOLIN                      
03284;THIONNE                               ;03220;THIONNE                               
03285;TORTEZAIS                             ;03430;TORTEZAIS                             
03286;TOULON SUR ALLIER                     ;03400;TOULON SUR ALLIER                     
03287;TREBAN                                ;03240;TREBAN                                
03288;TREIGNAT                              ;03380;TREIGNAT                              
03289;TRETEAU                               ;03220;TRETEAU                               
03290;TREVOL                                ;03460;TREVOL                                
03291;TREZELLES                             ;03220;TREZELLES                             
03292;TRONGET                               ;03240;TRONGET                               
03293;URCAY                                 ;03360;URCAY                                 
03294;USSEL D ALLIER                        ;03140;USSEL D ALLIER                        
03295;VALIGNAT                              ;03330;VALIGNAT                              
03296;VALIGNY                               ;03360;VALIGNY                               
03297;VALLON EN SULLY                       ;03190;VALLON EN SULLY                       
03298;VARENNES SUR ALLIER                   ;03150;VARENNES SUR ALLIER                   
03299;VARENNES SUR TECHE                    ;03220;VARENNES SUR TECHE                    
03300;VAUMAS                                ;03220;VAUMAS                                
03301;VAUX                                  ;03190;VAUX                                  
03302;VEAUCE                                ;03450;VEAUCE                                
03303;VENAS                                 ;03190;VENAS                                 
03304;VENDAT                                ;03110;VENDAT                                
03305;VERNEIX                               ;03190;VERNEIX                               
03306;LE VERNET                             ;03200;LE VERNET                             
03307;VERNEUIL EN BOURBONNAIS               ;03500;VERNEUIL EN BOURBONNAIS               
03308;VERNUSSE                              ;03390;VERNUSSE                              
03309;LE VEURDRE                            ;03320;LE VEURDRE                            
03310;VICHY                                 ;03200;VICHY                                 
03311;VICQ                                  ;03450;VICQ                                  
03312;VIEURE                                ;03430;VIEURE                                
03313;LE VILHAIN                            ;03350;LE VILHAIN                            
03314;VILLEBRET                             ;03310;VILLEBRET                             
03315;VILLEFRANCHE D ALLIER                 ;03430;VILLEFRANCHE D ALLIER                 
03316;VILLENEUVE SUR ALLIER                 ;03460;VILLENEUVE SUR ALLIER                 
03317;VIPLAIX                               ;03370;VIPLAIX                               
03318;VITRAY                                ;03360;VITRAY                                
03319;VOUSSAC                               ;03140;VOUSSAC                               
03320;YGRANDE                               ;03160;YGRANDE                               
03321;YZEURE                                ;03400;YZEURE                                
04001;AIGLUN                                ;04510;AIGLUN                                
04004;ALLEMAGNE EN PROVENCE                 ;04500;ALLEMAGNE EN PROVENCE                 
04005;ALLONS                                ;04170;ALLONS                                
04006;ALLOS                                 ;04260;ALLOS                                 
04007;ANGLES                                ;04170;ANGLES                                
04008;ANNOT                                 ;04240;ANNOT                                 
04009;ARCHAIL                               ;04420;ARCHAIL                               
04012;AUBENAS LES ALPES                     ;04110;AUBENAS LES ALPES                     
04013;AUBIGNOSC                             ;04200;AUBIGNOSC                             
04016;AUTHON                                ;04200;AUTHON                                
04017;AUZET                                 ;04140;AUZET                                 
04018;BANON                                 ;04150;BANON                                 
04019;BARCELONNETTE                         ;04400;BARCELONNETTE                         
04020;BARLES                                ;04140;BARLES                                
04021;BARRAS                                ;04380;BARRAS                                
04022;BARREME                               ;04330;BARREME                               
04023;BAYONS                                ;04250;BAYONS                                
04024;BEAUJEU                               ;04420;BEAUJEU                               
04025;BEAUVEZER                             ;04370;BEAUVEZER                             
04026;BELLAFFAIRE                           ;04250;BELLAFFAIRE                           
04027;BEVONS                                ;04200;BEVONS                                
04028;BEYNES                                ;04270;BEYNES                                
04030;BLIEUX                                ;04330;BLIEUX                                
04031;BRAS D ASSE                           ;04270;BRAS D ASSE                           
04032;BRAUX                                 ;04240;BRAUX                                 
04033;LA BREOLE                             ;04340;LA BREOLE                             
04034;LA BRILLANNE                          ;04700;LA BRILLANNE                          
04035;BRUNET                                ;04210;BRUNET                                
04036;LE BRUSQUET                           ;04420;LE BRUSQUET                           
04037;LE CAIRE                              ;04250;LE CAIRE                              
04039;CASTELLANE                            ;04120;CASTELLANE                            
04040;LE CASTELLARD MELAN                   ;04380;LE CASTELLARD MELAN                   
04041;LE CASTELLET                          ;04700;LE CASTELLET                          
04042;CASTELLET LES SAUSSES                 ;04320;CASTELLET LES SAUSSES                 
04043;VAL DE CHALVAGNE                      ;04320;VAL DE CHALVAGNE                      
04045;CERESTE                               ;04280;CERESTE                               
04046;LE CHAFFAUT ST JURSON                 ;04510;LE CHAFFAUT ST JURSON                 
04047;CHAMPTERCIER                          ;04660;CHAMPTERCIER                          
04049;CHATEAU ARNOUX ST AUBAN               ;04160;CHATEAU ARNOUX ST AUBAN               
04049;CHATEAU ARNOUX ST AUBAN               ;04600;CHATEAU ARNOUX ST AUBAN               
04050;CHATEAUFORT                           ;04250;CHATEAUFORT                           
04051;CHATEAUNEUF MIRAVAIL                  ;04200;CHATEAUNEUF MIRAVAIL                  
04053;CHATEAUNEUF VAL ST DONAT              ;04200;CHATEAUNEUF VAL ST DONAT              
04054;CHATEAUREDON                          ;04270;CHATEAUREDON                          
04055;CHAUDON NORANTE                       ;04330;CHAUDON NORANTE                       
04057;CLAMENSANE                            ;04250;CLAMENSANE                            
04058;CLARET                                ;05110;CLARET                                
04059;CLUMANC                               ;04330;CLUMANC                               
04061;COLMARS                               ;04370;COLMARS LES ALPES                     
04062;LA CONDAMINE CHATELARD                ;04530;LA CONDAMINE CHATELARD                
04063;CORBIERES                             ;04220;CORBIERES                             
04065;CRUIS                                 ;04230;CRUIS                                 
04066;CURBANS                               ;05110;CURBANS                               
04067;CUREL                                 ;04200;CUREL                                 
04068;DAUPHIN                               ;04300;DAUPHIN                               
04069;DEMANDOLX                             ;04120;DEMANDOLX                             
04070;DIGNE LES BAINS                       ;04000;DIGNE LES BAINS                       
04072;DRAIX                                 ;04420;DRAIX                                 
04073;ENCHASTRAYES                          ;04400;ENCHASTRAYES                          
04074;ENTRAGES                              ;04000;ENTRAGES                              
04074;ENTRAGES                              ;04270;ENTRAGES                              
04075;ENTREPIERRES                          ;04200;ENTREPIERRES                          
04076;ENTREVAUX                             ;04320;ENTREVAUX                             
04077;ENTREVENNES                           ;04700;ENTREVENNES                           
04079;L ESCALE                              ;04160;L ESCALE                              
04081;ESPARRON DE VERDON                    ;04800;ESPARRON DE VERDON                    
04084;ESTOUBLON                             ;04270;ESTOUBLON                             
04085;FAUCON DU CAIRE                       ;04250;FAUCON DU CAIRE                       
04086;FAUCON DE BARCELONNETTE               ;04400;FAUCON DE BARCELONNETTE               
04087;FONTIENNE                             ;04230;FONTIENNE                             
04088;FORCALQUIER                           ;04300;FORCALQUIER                           
04090;LE FUGERET                            ;04240;LE FUGERET                            
04091;GANAGOBIE                             ;04310;GANAGOBIE                             
04092;LA GARDE                              ;04120;LA GARDE                              
04093;GIGORS                                ;04250;GIGORS                                
04094;GREOUX LES BAINS                      ;04800;GREOUX LES BAINS                      
04095;L HOSPITALET                          ;04150;L HOSPITALET                          
04096;JAUSIERS                              ;04850;JAUSIERS                              
04097;LA JAVIE                              ;04000;LA JAVIE                              
04097;LA JAVIE                              ;04420;LA JAVIE                              
04099;LAMBRUISSE                            ;04170;LAMBRUISSE                            
04100;LARCHE                                ;04530;LARCHE                                
04101;LARDIERS                              ;04230;LARDIERS                              
04102;LE LAUZET UBAYE                       ;04340;LE LAUZET UBAYE                       
04104;LIMANS                                ;04300;LIMANS                                
04106;LURS                                  ;04700;LURS                                  
04107;MAJASTRES                             ;04270;MAJASTRES                             
04108;MALIJAI                               ;04350;MALIJAI                               
04108;MALIJAI                               ;04510;MALIJAI                               
04109;MALLEFOUGASSE AUGES                   ;04230;MALLEFOUGASSE AUGES                   
04110;MALLEMOISSON                          ;04510;MALLEMOISSON                          
04111;MANE                                  ;04300;MANE                                  
04112;MANOSQUE                              ;04100;MANOSQUE                              
04113;MARCOUX                               ;04420;MARCOUX                               
04115;MEAILLES                              ;04240;MEAILLES                              
04116;LES MEES                              ;04190;LES MEES                              
04118;MELVE                                 ;04250;MELVE                                 
04120;MEYRONNES                             ;04530;MEYRONNES                             
04121;MEZEL                                 ;04270;MEZEL                                 
04122;MIRABEAU                              ;04510;MIRABEAU                              
04123;MISON                                 ;04200;MISON                                 
04124;MONTAGNAC MONTPEZAT                   ;04500;MONTAGNAC MONTPEZAT                   
04126;MONTCLAR                              ;04140;MONTCLAR                              
04127;MONTFORT                              ;04600;MONTFORT                              
04128;MONTFURON                             ;04110;MONTFURON                             
04129;MONTJUSTIN                            ;04110;MONTJUSTIN                            
04130;MONTLAUX                              ;04230;MONTLAUX                              
04132;MONTSALIER                            ;04150;MONTSALIER                            
04133;MORIEZ                                ;04170;MORIEZ                                
04134;LA MOTTE DU CAIRE                     ;04250;LA MOTTE DU CAIRE                     
04135;MOUSTIERS STE MARIE                   ;04360;MOUSTIERS STE MARIE                   
04136;LA MURE ARGENS                        ;04170;LA MURE ARGENS                        
04137;NIBLES                                ;04250;NIBLES                                
04138;NIOZELLES                             ;04300;NIOZELLES                             
04139;NOYERS SUR JABRON                     ;04200;NOYERS SUR JABRON                     
04140;LES OMERGUES                          ;04200;LES OMERGUES                          
04141;ONGLES                                ;04230;ONGLES                                
04142;OPPEDETTE                             ;04110;OPPEDETTE                             
04143;ORAISON                               ;04700;ORAISON                               
04144;LA PALUD SUR VERDON                   ;04120;LA PALUD SUR VERDON                   
04145;PEIPIN                                ;04200;PEIPIN                                
04148;PEYROULES                             ;04120;PEYROULES                             
04149;PEYRUIS                               ;04310;PEYRUIS                               
04150;PIEGUT                                ;05130;PIEGUT                                
04151;PIERRERUE                             ;04300;PIERRERUE                             
04152;PIERREVERT                            ;04860;PIERREVERT                            
04154;PONTIS                                ;05160;PONTIS                                
04155;PRADS HAUTE BLEONE                    ;04420;PRADS HAUTE BLEONE                    
04156;PUIMICHEL                             ;04700;PUIMICHEL                             
04157;PUIMOISSON                            ;04410;PUIMOISSON                            
04158;QUINSON                               ;04500;QUINSON                               
04159;REDORTIERS                            ;04150;REDORTIERS                            
04160;REILLANNE                             ;04110;REILLANNE                             
04161;MEOLANS REVEL                         ;04340;MEOLANS REVEL                         
04162;REVEST DES BROUSSES                   ;04150;REVEST DES BROUSSES                   
04163;REVEST DU BION                        ;04150;REVEST DU BION                        
04164;REVEST ST MARTIN                      ;04230;REVEST ST MARTIN                      
04166;RIEZ                                  ;04500;RIEZ                                  
04167;LA ROBINE SUR GALABRE                 ;04000;LA ROBINE SUR GALABRE                 
04169;LA ROCHEGIRON                         ;04150;LA ROCHEGIRON                         
04170;LA ROCHETTE                           ;06260;LA ROCHETTE                           
04171;ROUGON                                ;04120;ROUGON                                
04172;ROUMOULES                             ;04500;ROUMOULES                             
04173;ST ANDRE LES ALPES                    ;04170;ST ANDRE LES ALPES                    
04174;ST BENOIT                             ;04240;ST BENOIT                             
04175;STE CROIX A LAUZE                     ;04110;STE CROIX A LAUZE                     
04176;STE CROIX DU VERDON                   ;04500;STE CROIX DU VERDON                   
04177;HAUTES DUYES                          ;04380;HAUTES DUYES                          
04178;ST ETIENNE LES ORGUES                 ;04230;ST ETIENNE LES ORGUES                 
04179;ST GENIEZ                             ;04200;ST GENIEZ                             
04180;ST JACQUES                            ;04330;ST JACQUES                            
04181;ST JEANNET                            ;04270;ST JEANNET                            
04182;ST JULIEN D ASSE                      ;04270;ST JULIEN D ASSE                      
04183;ST JULIEN DU VERDON                   ;04170;ST JULIEN DU VERDON                   
04184;ST JURS                               ;04410;ST JURS                               
04186;ST LAURENT DU VERDON                  ;04500;ST LAURENT DU VERDON                  
04187;ST LIONS                              ;04330;ST LIONS                              
04188;ST MAIME                              ;04300;ST MAIME                              
04189;ST MARTIN DE BROMES                   ;04800;ST MARTIN DE BROMES                   
04190;ST MARTIN LES EAUX                    ;04300;ST MARTIN LES EAUX                    
04191;ST MARTIN LES SEYNE                   ;04140;ST MARTIN LES SEYNE                   
04192;ST MICHEL L OBSERVATOIRE              ;04870;ST MICHEL L OBSERVATOIRE              
04193;ST PAUL SUR UBAYE                     ;04530;ST PAUL SUR UBAYE                     
04194;ST PIERRE                             ;06260;ST PIERRE                             
04195;ST PONS                               ;04400;ST PONS                               
04197;STE TULLE                             ;04220;STE TULLE                             
04198;ST VINCENT LES FORTS                  ;04340;ST VINCENT LES FORTS                  
04199;ST VINCENT SUR JABRON                 ;04200;ST VINCENT SUR JABRON                 
04200;SALIGNAC                              ;04290;SALIGNAC                              
04201;SAUMANE                               ;04150;SAUMANE                               
04202;SAUSSES                               ;04320;SAUSSES                               
04203;SELONNET                              ;04140;SELONNET                              
04204;SENEZ                                 ;04270;SENEZ                                 
04204;SENEZ                                 ;04330;SENEZ                                 
04205;SEYNE                                 ;04140;SEYNE LES ALPES                       
04206;SIGONCE                               ;04300;SIGONCE                               
04207;SIGOYER                               ;04200;SIGOYER                               
04208;SIMIANE LA ROTONDE                    ;04150;SIMIANE LA ROTONDE                    
04209;SISTERON                              ;04200;SISTERON                              
04210;SOLEILHAS                             ;04120;SOLEILHAS                             
04211;SOURRIBES                             ;04290;SOURRIBES                             
04214;TARTONNE                              ;04330;TARTONNE                              
04216;THEZE                                 ;04200;THEZE                                 
04217;THOARD                                ;04380;THOARD                                
04218;THORAME BASSE                         ;04170;THORAME BASSE                         
04219;THORAME HAUTE                         ;04170;THORAME HAUTE                         
04220;LES THUILES                           ;04400;LES THUILES                           
04222;TURRIERS                              ;04250;TURRIERS                              
04224;UBRAYE                                ;04240;UBRAYE                                
04226;UVERNET FOURS                         ;04400;UVERNET FOURS                         
04227;VACHERES                              ;04110;VACHERES                              
04228;VALAVOIRE                             ;04250;VALAVOIRE                             
04229;VALBELLE                              ;04200;VALBELLE                              
04230;VALENSOLE                             ;04210;VALENSOLE                             
04231;VALERNES                              ;04200;VALERNES                              
04233;VAUMEILH                              ;04200;VAUMEILH                              
04234;VENTEROL                              ;05130;VENTEROL                              
04235;VERDACHES                             ;04140;VERDACHES                             
04236;VERGONS                               ;04170;VERGONS                               
04237;LE VERNET                             ;04140;LE VERNET                             
04240;VILLARS COLMARS                       ;04370;VILLARS COLMARS                       
04241;VILLEMUS                              ;04110;VILLEMUS                              
04242;VILLENEUVE                            ;04180;VILLENEUVE                            
04244;VOLONNE                               ;04290;VOLONNE                               
04245;VOLX                                  ;04130;VOLX                                  
05001;ABRIES                                ;05460;ABRIES                                
05003;AIGUILLES                             ;05470;AIGUILLES                             
05004;ANCELLE                               ;05260;ANCELLE                               
05005;ANTONAVES                             ;05300;ANTONAVES                             
05006;L ARGENTIERE LA BESSEE                ;05120;L ARGENTIERE LA BESSEE                
